
---------- Begin Simulation Statistics ----------
simSeconds                                   0.004734                       # Number of seconds simulated (Second)
simTicks                                   4734390000                       # Number of ticks simulated (Tick)
finalTick                                  4734390000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     93.19                       # Real time elapsed on the host (Second)
hostTickRate                                 50805674                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8593528                       # Number of bytes of host memory used (Byte)
simInsts                                     12961815                       # Number of instructions simulated (Count)
simOps                                       24681788                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   139096                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     264865                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          9468781                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        28216693                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    61998                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       26947909                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  40591                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              3596897                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           5527148                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved               33144                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             9307010                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.895442                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.534219                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   2804809     30.14%     30.14% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    815710      8.76%     38.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    786469      8.45%     47.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1054993     11.34%     58.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    854733      9.18%     67.87% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   1061637     11.41%     79.28% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1061222     11.40%     90.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    639663      6.87%     97.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    227774      2.45%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               9307010                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  846281     96.41%     96.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     96.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     96.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     96.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     96.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     96.41% # attempts to use FU when none available (Count)
